180,180,179,179,180,179,180,180,179,179,179,179,179,180,179,180,179,180,180,179,180,180,179,179,179,179,179,180,179,179,179,180,180,179,179,179,180,179,179,179,179,180,180,180,179,180,180,179,180,180
179,180,179,180,180,180,180,180,180,180,180,179,179,180,179,179,180,179,180,180,180,180,179,179,180,180,180,180,179,180,179,180,180,180,179,179,180,180,179,179,179,180,180,179,179,180,179,180,180,180
180,180,180,179,179,179,180,180,179,179,179,179,179,179,179,179,180,179,179,180,179,179,179,180,180,179,179,179,180,180,180,179,179,180,179,180,179,179,179,180,180,180,179,180,180,179,179,180,180,179
179,180,180,180,180,179,180,179,179,180,179,179,179,179,179,179,180,180,179,179,180,180,180,180,179,179,179,179,180,179,179,180,179,180,179,180,179,179,180,179,180,180,179,180,179,180,179,179,180,180
179,179,180,179,180,179,180,180,179,180,179,180,180,179,179,179,179,180,179,180,180,180,179,180,180,179,180,179,180,179,179,180,180,180,180,180,179,180,180,179,180,179,179,179,180,179,179,179,179,180
180,179,180,179,179,179,180,180,180,180,180,179,180,180,180,179,180,180,180,180,180,179,179,180,179,179,180,179,179,179,180,179,180,180,180,179,180,180,179,180,180,180,179,180,179,180,179,179,180,180
180,179,180,180,179,179,180,179,179,180,179,180,179,180,179,180,180,179,179,180,180,180,180,180,179,180,179,180,179,179,179,179,179,179,180,180,180,179,179,179,180,179,180,179,180,179,179,179,180,179
179,180,179,179,179,179,179,180,179,179,179,180,179,179,180,179,180,179,179,179,179,180,180,180,180,179,179,180,180,179,180,179,179,179,179,179,179,179,179,179,180,180,180,180,180,179,179,180,179,180
179,180,180,179,179,180,180,180,180,180,179,179,179,179,179,180,179,179,179,179,180,180,179,179,179,180,179,180,180,179,180,179,179,180,179,179,180,179,180,180,180,180,180,179,180,180,179,179,180,180
180,179,179,180,179,179,180,179,179,179,180,180,180,179,180,180,179,180,180,180,179,180,179,180,180,180,179,180,179,180,180,180,180,179,180,180,179,180,180,180,179,180,179,179,179,179,180,179,179,179
180,179,179,180,179,180,179,179,179,180,180,179,179,180,180,180,180,180,179,179,180,179,179,179,180,179,180,180,179,179,180,180,179,180,180,180,179,179,180,179,179,179,179,180,179,180,179,180,180,180
180,180,179,179,179,180,180,180,179,179,179,180,180,180,179,180,179,179,180,180,179,180,180,180,180,180,179,180,180,180,180,179,179,179,179,179,179,180,180,180,179,179,179,179,180,180,179,180,179,180
180,179,180,180,179,180,179,179,179,180,180,180,180,179,179,180,179,179,179,179,180,180,179,180,179,179,180,179,180,179,179,179,179,179,180,180,179,179,179,179,179,179,179,180,179,180,180,179,180,179
180,179,179,179,179,180,179,179,180,180,180,180,180,180,179,180,180,180,180,179,180,180,180,179,179,180,179,180,179,180,180,180,179,179,179,179,180,179,179,179,180,180,179,179,180,180,179,179,180,179
180,179,179,180,180,180,180,180,179,180,179,179,179,179,179,179,180,179,179,180,180,180,180,179,179,180,180,179,180,180,179,179,179,179,179,180,179,180,180,180,180,180,180,179,179,179,180,179,180,179
179,179,180,179,180,179,179,179,179,180,179,179,179,180,180,179,180,180,180,180,180,180,179,180,180,180,179,179,180,179,179,180,180,180,180,179,180,180,180,180,180,179,179,179,179,179,179,179,180,179
180,179,179,180,180,180,180,180,180,179,180,180,180,180,179,179,180,179,180,179,180,180,180,180,179,179,179,179,180,179,179,180,180,179,179,180,179,179,180,180,179,180,180,179,179,179,179,179,179,179
179,180,179,179,180,180,179,180,180,179,179,180,179,179,179,179,180,180,179,179,179,179,180,179,180,179,179,180,180,180,179,179,180,180,179,179,180,179,179,179,180,179,179,179,179,179,180,179,180,180
179,180,180,179,179,180,180,179,180,180,180,179,179,179,179,180,179,179,180,179,180,179,180,180,180,179,180,179,179,180,180,179,180,179,180,179,180,180,179,179,179,179,179,180,179,179,180,180,180,179
179,180,179,179,180,179,180,179,179,179,179,179,179,180,180,179,180,179,180,180,179,180,180,179,180,179,180,180,179,179,180,180,180,180,180,180,180,179,179,180,179,179,180,180,180,180,179,179,179,179
